"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CSN2",18.528020880506,-4.56384505214552,0.845430851001369,-5.39824758788952,6.72949591374529e-08,5.55777866013872e-07
"CSN3",47.1519233037734,-3.70991261153257,0.492306596054945,-7.53577677256739,4.85436394109499e-14,1.30435817807815e-12
"LALBA",22.7836215218226,-3.29021696436483,0.729218818246212,-4.51197484491401,6.42268068515987e-06,3.33066039273193e-05
"LACRT",30.6464070935913,-3.25941634927283,0.50756243833034,-6.42170519945269,1.34756202906598e-10,1.92792797668732e-09
"SMR3B",40.9822726741991,-3.1853968003346,0.411535546349705,-7.74027135344413,9.9204856507671e-15,2.99311697705881e-13
"NTS",43.6692298607197,-3.15893597569939,0.308003279795968,-10.2561764205627,1.11015841193603e-24,1.09325244627203e-22
"CARTPT",307.050799708916,-3.05272947178407,0.557124595529726,-5.47943762719983,4.26679825214919e-08,3.65779434784332e-07
"RLBP1",3.44579090093952,-3.04260029139747,0.406636298463895,-7.48236274747523,7.29981175457544e-14,1.89580117856444e-12
"UCP1",6.86742138783536,-3.03186890450344,0.314101867899546,-9.65250198853666,4.79707833245351e-22,3.63528592381243e-20
"CA6",10.4924440772251,-2.85021527079603,0.379886729890212,-7.50280293186274,6.24674321104639e-14,1.63987575499729e-12
