"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SPANXA2",2.34144376012153,4.35181633032083,0.635458895643615,6.84830499683723,7.47301100619691e-12,1.32762283443425e-10
"GAGE12D",10.2603696193626,4.29670655169932,0.796617318410813,5.39368960779173,6.90254144384498e-08,5.6741230512963e-07
"SPANXC",2.42981733300155,4.17240319197084,0.523808325430239,7.96551522647864,1.64536771785308e-15,5.62965321452376e-14
"GAGE2B",1.52257346109086,4.05692969469159,1.41276574309425,2.87162235814557,0.00408370655003713,0.0102202752638127
"FAM9C",1.69448181835298,3.37449914914704,0.297617298607844,11.3383837731605,8.46941642963312e-30,1.20813734363884e-27
"PNMT",164.988584446758,3.30954308331677,0.17935695616704,18.4522705672732,4.99995056191437e-76,3.73073234235149e-73
"GAGE4",4.45391332760747,3.30592289587017,0.670896455342293,4.9276201559054,8.32372358433206e-07,5.31359781296618e-06
"KRT20",3.54435931807212,3.04172881221572,0.43573716699049,6.98065036137279,2.93816708395845e-12,5.7000441428794e-11
"TBX10",8.6797218521356,2.99093495402201,0.398634400499027,7.50295245537725,6.2396189105367e-14,1.63987575499729e-12
"GAGE2D",4.09089083290304,2.93441544830744,0.760269889657345,3.85970230864987,0.000113525238033869,0.000429986258855341
